question,answer
¿Cómo se trata la asfixia?,"Para usted: Comience a toser para expulsar el cuerpo extraño. Si la obstrucción persiste, busque una mesa o el respaldo de una silla y presione sobre él el centro de su pecho. Para adultos: Si la víctima está respirando, anímela a toser fuerte mientras mira hacia abajo. Ayúdela a inclinarse hacia adelante y golpéela con la base de la palma entre los dos omoplatos cinco veces. Si todavía hay una obstrucción, aplicamos 5 compresiones abdominales en el centro del pecho poniendo una mano en un puño y presionándola hacia adentro y hacia arriba con la ayuda de la otra mano y hacia arriba. Si pierde el conocimiento y se desploma, aplicamos RCP para adultos. Para niños: Si el niño está respirando, anímela a toser fuerte. Ayúdela a inclinarse hacia adelante y golpéela fuerte con la base de la palma entre los dos omoplatos cinco veces. Si todavía hay una obstrucción, aplicamos 5 compresiones abdominales donde termina el esternón en el centro del pecho poniendo una mano en un puño y presionando con la otra hacia adentro y hacia arriba. Las compresiones abdominales están permitidas a partir del 2º año de edad. Si pierde el conocimiento y se desmaya, aplicamos RCP para niños. Para lactantes: Si el lactante no respira ni llora, lo colocamos sobre el antebrazo de una mano, manteniendo abierta su mandíbula con nuestra mano y le damos cinco golpecitos entre los omoplatos. Si sigue habiendo una obstrucción, aplicamos 5 compresiones torácicas entre los pezones. Si pierde el conocimiento y se desmaya, aplicamos RCP para lactantes."
¿Qué hacer si me ocurre un atragantamiento?,"Para usted: Comience a toser para expulsar el cuerpo extraño. Si la obstrucción persiste, busque una mesa o el respaldo de una silla y presione sobre él el centro de su pecho. Para adultos: Si la víctima está respirando, anímela a toser fuerte mientras mira hacia abajo. Ayúdela a inclinarse hacia adelante y golpéela con la base de la palma entre los dos omoplatos cinco veces. Si todavía hay una obstrucción, aplicamos 5 compresiones abdominales en el centro del pecho poniendo una mano en un puño y presionándola hacia adentro y hacia arriba con la ayuda de la otra mano y hacia arriba. Si pierde el conocimiento y se desploma, aplicamos RCP para adultos. Para niños: Si el niño está respirando, anímela a toser fuerte. Ayúdela a inclinarse hacia adelante y golpéela fuerte con la base de la palma entre los dos omoplatos cinco veces. Si todavía hay una obstrucción, aplicamos 5 compresiones abdominales donde termina el esternón en el centro del pecho poniendo una mano en un puño y presionando con la otra hacia adentro y hacia arriba. Las compresiones abdominales están permitidas a partir del 2º año de edad. Si pierde el conocimiento y se desmaya, aplicamos RCP para niños. Para lactantes: Si el lactante no respira ni llora, lo colocamos sobre el antebrazo de una mano, manteniendo abierta su mandíbula con nuestra mano y le damos cinco golpecitos entre los omoplatos. Si sigue habiendo una obstrucción, aplicamos 5 compresiones torácicas entre los pezones. Si pierde el conocimiento y se desmaya, aplicamos RCP para lactantes."
¿Cómo curar la asfixia?,"Para usted: Comience a toser para expulsar el cuerpo extraño. Si la obstrucción persiste, busque una mesa o el respaldo de una silla y presione sobre él el centro de su pecho. Para adultos: Si la víctima está respirando, anímela a toser fuerte mientras mira hacia abajo. Ayúdela a inclinarse hacia adelante y golpéela con la base de la palma entre los dos omoplatos cinco veces. Si todavía hay una obstrucción, aplicamos 5 compresiones abdominales en el centro del pecho poniendo una mano en un puño y presionándola hacia adentro y hacia arriba con la ayuda de la otra mano y hacia arriba. Si pierde el conocimiento y se desploma, aplicamos RCP para adultos. Para niños: Si el niño está respirando, anímela a toser fuerte. Ayúdela a inclinarse hacia adelante y golpéela fuerte con la base de la palma entre los dos omoplatos cinco veces. Si todavía hay una obstrucción, aplicamos 5 compresiones abdominales donde termina el esternón en el centro del pecho poniendo una mano en un puño y presionando con la otra hacia adentro y hacia arriba. Las compresiones abdominales están permitidas a partir del 2º año de edad. Si pierde el conocimiento y se desmaya, aplicamos RCP para niños. Para lactantes: Si el lactante no respira ni llora, lo colocamos sobre el antebrazo de una mano, manteniendo abierta su mandíbula con nuestra mano y le damos cinco golpecitos entre los omoplatos. Si sigue habiendo una obstrucción, aplicamos 5 compresiones torácicas entre los pezones. Si pierde el conocimiento y se desmaya, aplicamos RCP para lactantes."
asfixia,"Para usted: Comience a toser para expulsar el cuerpo extraño. Si la obstrucción persiste, busque una mesa o el respaldo de una silla y presione sobre él el centro de su pecho. Para adultos: Si la víctima está respirando, anímela a toser fuerte mientras mira hacia abajo. Ayúdela a inclinarse hacia adelante y golpéela con la base de la palma entre los dos omoplatos cinco veces. Si todavía hay una obstrucción, aplicamos 5 compresiones abdominales en el centro del pecho poniendo una mano en un puño y presionándola hacia adentro y hacia arriba con la ayuda de la otra mano y hacia arriba. Si pierde el conocimiento y se desploma, aplicamos RCP para adultos. Para niños: Si el niño está respirando, anímela a toser fuerte. Ayúdela a inclinarse hacia adelante y golpéela fuerte con la base de la palma entre los dos omoplatos cinco veces. Si todavía hay una obstrucción, aplicamos 5 compresiones abdominales donde termina el esternón en el centro del pecho poniendo una mano en un puño y presionando con la otra hacia adentro y hacia arriba. Las compresiones abdominales están permitidas a partir del 2º año de edad. Si pierde el conocimiento y se desmaya, aplicamos RCP para niños. Para lactantes: Si el lactante no respira ni llora, lo colocamos sobre el antebrazo de una mano, manteniendo abierta su mandíbula con nuestra mano y le damos cinco golpecitos entre los omoplatos. Si sigue habiendo una obstrucción, aplicamos 5 compresiones torácicas entre los pezones. Si pierde el conocimiento y se desmaya, aplicamos RCP para lactantes."
Él se está ahogando,"Para adultos: Si la víctima está respirando, anímela a toser fuerte mientras mira hacia abajo. Ayúdela a inclinarse hacia adelante y golpéela con la base de la palma entre los dos omoplatos cinco veces. Si todavía hay una obstrucción, aplicamos 5 compresiones abdominales en el centro del pecho, poniendo una mano en un puño y presionando hacia adentro y hacia arriba con la ayuda de la otra mano y hacia arriba. Si pierde el conocimiento y se desploma, aplicamos RCP para adultos. Para niños: Si el niño está respirando, anímela a toser fuerte. Ayúdela a inclinarse hacia adelante y golpéela con fuerza con la base de la palma entre los dos omoplatos cinco veces. Si todavía hay una obstrucción, aplicamos 5 compresiones abdominales donde termina el esternón en el centro del pecho, poniendo una mano en un puño y presionando con la otra hacia adentro y hacia arriba. Las compresiones abdominales están permitidas a partir del 2º año de edad. Si pierde el conocimiento y se desmaya, aplicamos RCP para niños. Para bebés: Si el bebé no respira ni llora, lo colocamos sobre el antebrazo de una mano, manteniéndole la mandíbula abierta con nuestra mano y dándole cinco golpecitos entre los omoplatos. Si todavía hay una obstrucción, aplicamos 5 compresiones torácicas entre los pezones. Si pierde el conocimiento y se desmaya, aplicamos RCP para bebés."
Ella se está ahogando,"Para adultos: Si la víctima está respirando, anímela a toser fuerte mientras mira hacia abajo. Ayúdela a inclinarse hacia adelante y golpéela con la base de la palma entre los dos omoplatos cinco veces. Si todavía hay una obstrucción, aplicamos 5 compresiones abdominales en el centro del pecho, poniendo una mano en un puño y presionando hacia adentro y hacia arriba con la ayuda de la otra mano y hacia arriba. Si pierde el conocimiento y se desploma, aplicamos RCP para adultos. Para niños: Si el niño está respirando, anímela a toser fuerte. Ayúdela a inclinarse hacia adelante y golpéela con fuerza con la base de la palma entre los dos omoplatos cinco veces. Si todavía hay una obstrucción, aplicamos 5 compresiones abdominales donde termina el esternón en el centro del pecho, poniendo una mano en un puño y presionando con la otra hacia adentro y hacia arriba. Las compresiones abdominales están permitidas a partir del 2º año de edad. Si pierde el conocimiento y se desmaya, aplicamos RCP para niños. Para bebés: Si el bebé no respira ni llora, lo colocamos sobre el antebrazo de una mano, manteniéndole la mandíbula abierta con nuestra mano y dándole cinco golpecitos entre los omoplatos. Si todavía hay una obstrucción, aplicamos 5 compresiones torácicas entre los pezones. Si pierde el conocimiento y se desmaya, aplicamos RCP para bebés."
Mi hijo se está ahogando,"Para adultos: Si la víctima está respirando, anímela a toser fuerte mientras mira hacia abajo. Ayúdela a inclinarse hacia adelante y golpéela con la base de la palma entre los dos omoplatos cinco veces. Si todavía hay una obstrucción, aplicamos 5 compresiones abdominales en el centro del pecho, poniendo una mano en un puño y presionando hacia adentro y hacia arriba con la ayuda de la otra mano y hacia arriba. Si pierde el conocimiento y se desploma, aplicamos RCP para adultos. Para niños: Si el niño está respirando, anímela a toser fuerte. Ayúdela a inclinarse hacia adelante y golpéela con fuerza con la base de la palma entre los dos omoplatos cinco veces. Si todavía hay una obstrucción, aplicamos 5 compresiones abdominales donde termina el esternón en el centro del pecho, poniendo una mano en un puño y presionando con la otra hacia adentro y hacia arriba. Las compresiones abdominales están permitidas a partir del 2º año de edad. Si pierde el conocimiento y se desmaya, aplicamos RCP para niños. Para bebés: Si el bebé no respira ni llora, lo colocamos sobre el antebrazo de una mano, manteniéndole la mandíbula abierta con nuestra mano y dándole cinco golpecitos entre los omoplatos. Si todavía hay una obstrucción, aplicamos 5 compresiones torácicas entre los pezones. Si pierde el conocimiento y se desmaya, aplicamos RCP para bebés."
Mi hija se está ahogando,"Para adultos: Si la víctima está respirando, anímela a toser fuerte mientras mira hacia abajo. Ayúdela a inclinarse hacia adelante y golpéela con la base de la palma entre los dos omoplatos cinco veces. Si todavía hay una obstrucción, aplicamos 5 compresiones abdominales en el centro del pecho, poniendo una mano en un puño y presionando hacia adentro y hacia arriba con la ayuda de la otra mano y hacia arriba. Si pierde el conocimiento y se desploma, aplicamos RCP para adultos. Para niños: Si el niño está respirando, anímela a toser fuerte. Ayúdela a inclinarse hacia adelante y golpéela con fuerza con la base de la palma entre los dos omoplatos cinco veces. Si todavía hay una obstrucción, aplicamos 5 compresiones abdominales donde termina el esternón en el centro del pecho, poniendo una mano en un puño y presionando con la otra hacia adentro y hacia arriba. Las compresiones abdominales están permitidas a partir del 2º año de edad. Si pierde el conocimiento y se desmaya, aplicamos RCP para niños. Para bebés: Si el bebé no respira ni llora, lo colocamos sobre el antebrazo de una mano, manteniéndole la mandíbula abierta con nuestra mano y dándole cinco golpecitos entre los omoplatos. Si todavía hay una obstrucción, aplicamos 5 compresiones torácicas entre los pezones. Si pierde el conocimiento y se desmaya, aplicamos RCP para bebés."
Mi marido se está ahogando,"Si la víctima está respirando, anímela a toser fuerte mientras mira hacia abajo. Ayúdela a inclinarse hacia adelante y golpéela con la base de la palma entre los dos omóplatos cinco veces. Si todavía hay una obstrucción, aplicamos cinco compresiones abdominales en el centro del pecho, poniendo una mano en un puño y presionándola hacia adentro y hacia arriba con la ayuda de la otra mano y hacia arriba. Si pierde el conocimiento y se desploma, aplicamos RCP para adultos."
Mi esposa se está ahogando,"Si la víctima está respirando, anímela a toser fuerte mientras mira hacia abajo. Ayúdela a inclinarse hacia adelante y golpéela con la base de la palma entre los dos omóplatos cinco veces. Si todavía hay una obstrucción, aplicamos cinco compresiones abdominales en el centro del pecho, poniendo una mano en un puño y presionándola hacia adentro y hacia arriba con la ayuda de la otra mano y hacia arriba. Si pierde el conocimiento y se desploma, aplicamos RCP para adultos."
Mi mamá se está ahogando,"Si la víctima está respirando, anímela a toser fuerte mientras mira hacia abajo. Ayúdela a inclinarse hacia adelante y golpéela con la base de la palma entre los dos omóplatos cinco veces. Si todavía hay una obstrucción, aplicamos cinco compresiones abdominales en el centro del pecho, poniendo una mano en un puño y presionándola hacia adentro y hacia arriba con la ayuda de la otra mano y hacia arriba. Si pierde el conocimiento y se desploma, aplicamos RCP para adultos."
Mi mamá se está ahogando,"Si la víctima está respirando, anímela a toser fuerte mientras mira hacia abajo. Ayúdela a inclinarse hacia adelante y golpéela con la base de la palma entre los dos omóplatos cinco veces. Si todavía hay una obstrucción, aplicamos cinco compresiones abdominales en el centro del pecho, poniendo una mano en un puño y presionándola hacia adentro y hacia arriba con la ayuda de la otra mano y hacia arriba. Si pierde el conocimiento y se desploma, aplicamos RCP para adultos."
Mi papá se está ahogando,"Si la víctima está respirando, anímela a toser fuerte mientras mira hacia abajo. Ayúdela a inclinarse hacia adelante y golpéela con la base de la palma entre los dos omóplatos cinco veces. Si todavía hay una obstrucción, aplicamos cinco compresiones abdominales en el centro del pecho, poniendo una mano en un puño y presionándola hacia adentro y hacia arriba con la ayuda de la otra mano y hacia arriba. Si pierde el conocimiento y se desploma, aplicamos RCP para adultos."
Mi madre se está ahogando,"Si la víctima está respirando, anímela a toser fuerte mientras mira hacia abajo. Ayúdela a inclinarse hacia adelante y golpéela con la base de la palma entre los dos omóplatos cinco veces. Si todavía hay una obstrucción, aplicamos cinco compresiones abdominales en el centro del pecho, poniendo una mano en un puño y presionándola hacia adentro y hacia arriba con la ayuda de la otra mano y hacia arriba. Si pierde el conocimiento y se desploma, aplicamos RCP para adultos."
Mi padre se está ahogando,"Si la víctima está respirando, anímela a toser fuerte mientras mira hacia abajo. Ayúdela a inclinarse hacia adelante y golpéela con la base de la palma entre los dos omóplatos cinco veces. Si todavía hay una obstrucción, aplicamos cinco compresiones abdominales en el centro del pecho, poniendo una mano en un puño y presionándola hacia adentro y hacia arriba con la ayuda de la otra mano y hacia arriba. Si pierde el conocimiento y se desploma, aplicamos RCP para adultos."
Mi hijo se está ahogando,"Para niños mayores de 1 año: Si el niño está respirando, anímelo a toser fuerte. Ayude al niño a inclinarse hacia adelante y golpéelo fuerte con la base de la palma entre los dos omóplatos cinco veces. Si todavía hay una obstrucción, aplicamos 5 compresiones abdominales donde termina el esternón en el centro del pecho, poniendo una mano en un puño y presionando con la otra hacia adentro y hacia arriba. Las compresiones abdominales están permitidas a partir del 2º año de edad. Si pierde el conocimiento y se desploma, aplicamos RCP para niños. Para bebés: Si el bebé no respira ni llora, coloque al bebé sobre el antebrazo de una mano sosteniendo su mandíbula abierta con nuestra mano y golpeéelo cinco veces entre los omóplatos. Si todavía hay una obstrucción, aplicamos 5 compresiones torácicas entre los pezones. Si pierde el conocimiento y se desploma, aplicamos RCP para bebés."
